项目简称,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01
圣元,39188.4596,35799.9147938858,28373.5883257425,-11752.6500559575,17817.0894444376,23861.453495722202,6396.091345746821,11420.555126661899,20580.8767341005,2399.52587323263,-4037.81048812337,-4283.0329983312,4555.98141297327,17966.4009330579,-32725.8098399906,-13799.6585593595,-15380.74,-2278.69162712857,-9350.334074141707,-6291.59067096896,-9781.283880375491,-11930.034868062901,-23744.6722121218,-40821.958199789435
多美滋,-1044144.9603376116,860683.8498356038,-24124.634883014354,-333253.342148714,-553069.5452998602,-327681.64886726247,-639275.2561888418,-559191.5780233066,-256007.7567295571,-252582.3979582192,-517366.55829493835,-741865.3334708088,-907039.9843281993,-540179.6142044978,-14833.731288506307,-382383.2899332795,-325356.9745597059,-469868.645644615,-531919.5442684594,-203434.3100323514,-680119.1353758837,-232149.53241569173,-3848.628677626897,-357244.16681788675
大王,,,,,,,,,,,,,,,,,0.0,14845.1961157728,-3847.98535628604,-835.7570392102921,-16524.9643652495,-2415.43246528684,-2628.81,11547.33111
好孩子,0.0,0.0,-20825.2864,0.0,0.0,0.0,-66931.3052262792,0.0,0.0,0.0,0.0,0.0,-149.73,0.0,0.0,0.0,0.0,0.0,0.0,-11096.38,0.0,0.0,0.0,0.0
娃哈哈,-1030.24,-930.54,-1030.24,-997.01,-1030.24,-997.01,-1030.24,-1030.24,-997.0,-1030.24,-997.0,-1030.24,-1030.24,-930.54,-1030.24,-967.69,-999.94,-967.69,-999.94,-999.94,-967.69,-969.64,-938.36,-969.64
安怡,-18921.4692,-3105.062700284441,-71665.8534900218,-2660.12,-76873.4579774174,-3936.93338895071,-61470.0385846442,4127.02033058797,4282.124207160549,422.782247896091,-67604.2868093252,14179.107708877502,40372.98883069416,-75395.93196254902,-33221.31695584042,-18423.728374521997,-149874.23982027473,433158.2823421782,231745.19345729283,-166819.49309181276,42364.94751793328,2106557.4008827177,-710287.4030911047,212685.75124590882
小宝贝,,,,,,,127.33838411482,-3569.1319959386797,-899.1689493462932,3530.3853034695203,-10.0310614461877,-11.4187011135009,9.46705534551814,0.0,-20.8825070665794,-20.8268928643073,0.0,-2.7974323636925096,-30.582080215776,-14.3385769124334,-17.7543135601341,-170.0,0.0,-841.75
尤妮佳,-101490.56117328403,35009.334873510685,372083.00746420363,24315.917347784194,54833.95612567239,161679.89486672365,-3023.3030891706076,-34313.06265347469,458251.45308084803,239960.67604545783,-219448.5857598019,-21801.84979068327,164911.47978947381,31491.90447025989,116730.08547308703,179436.64440994474,79388.52721742955,-23748.35464073749,-100449.10407836612,45995.43695906965,97273.82471775326,113365.22895174222,-62400.6524146109,-311629.37416235526
强生,,,,,,,,,,,,,,,,,,,0.0,16841.32357840449,28701.125460359995,-47752.6119994192,34366.91357414189,-16424.117676245096
恒大奶粉,,,,,,,,,,,,,0.0,-602.89,0.0,0.0,-4908.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恒天然,-795101.198499009,-193936.234460275,58160.0014884043,44072.7772465631,-12664.721737334,40524.07602097782,175153.48714793212,35711.549495303036,-262343.6423756236,340708.76964443934,211705.06998345922,350762.60948035313,382793.0210241587,-806179.7570834585,444997.7773967089,-94958.53865070142,98920.66404089297,-231957.6875668895,-63558.447496039575,438131.63964702294,107961.12701805215,793693.4581207525,68223.66873208668,339810.044260002
恒安,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9835.0
惠氏,513858.1364984817,-1399967.1035652566,857534.1821033367,645496.4677920905,190160.58106435818,869749.9187076886,1003084.727698931,994556.8407161005,1656558.797989688,1131444.9119499705,328818.5037005602,1112423.555928198,632333.0785315116,649500.9039991545,342640.3371643994,-339286.08507116477,620343.2725824751,504279.4861408573,2191112.500385278,270385.2750682274,1360140.313039767,-1325523.779689918,2471993.719209347,1297440.0797957056
慧智妈咪,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-722.0
整合,,0.0,,,,,,,,,,,,,,,,,,,,,,
新欣,,,,,,,,,,,,,413.36,1138.99717943974,851.9159007323759,4073.300644474821,-11885.8038636122,-2297.87482363162,5107.72856515099,6181.51634723086,4956.374285170279,3957.6396687092997,5545.98821429956,331.50586689103403
方广,,,,,,,,,,,,,,,,,,,0.0,24220.2601373711,27212.768983924103,8708.39186232923,12796.0462932575,-51812.87718505541
施儿佳,,,,,,,,,,,,0.0,30914.7325380925,-2108.52148937721,1269.60910598494,-4331.47657550062,-5814.976789452049,-2405.52669835183,-1812.15945839809,-2968.5325987085607,-3877.00123996876,-6732.73905065744,-758.141992222879,-6070.957856528721
施恩,-6334.40582521984,100310.485126684,-76932.2430308887,-46203.378657508,20075.1183668868,-44800.2196408729,-48335.0892717935,-11304.7451249298,-65359.5514698926,31253.989005426894,-20023.6896282757,-35929.1500462935,-6348.172796856899,-17035.8748823752,-14217.6754063082,-9647.03750043491,53069.2819136413,-6634.9112961170495,-1450.7157210217101,662.3800803459903,-13722.351069737382,4252.254641721271,34610.936662816,-88758.5276013491
明治,0.0,0.0,0.0,-23.8147466822177,6.44564498193022,0.0,0.0,0.0,-642.1872,2639.6492,0.0,-269.0,0.0,0.0,0.0,0.0,0.0,0.0,-24164.5646269518,0.0,0.0,0.0,0.0,0.0
星喜,,,,,,-268.67200000000196,-8044.762364592951,-35730.113954000895,-292749.634957663,372498.1158829209,-19179.2571272926,-13839.6812575908,-6552.03259730865,3654.91613835208,35280.1637064854,-76469.39299094799,-22131.426360095098,-24567.4254302662,-3199.89,-13341.4662694133,5488.20947307929,0.0,-1088.1,0.0
母婴,-3840.25330827187,0.0,-20637.5283373346,74253.6057813914,-85820.625678746,212990.869273665,-153386.33359669198,-114010.819129831,-98502.90769832119,4052.76260578436,-93250.91072388447,-427649.146063865,302785.34170313104,-253819.269708381,-168698.102666146,-32819.8249033204,28333.1461646349,-23870.47937211251,-35730.3949665757,-78237.8803135015,-8022.485576059702,-72471.66484491342,-26753.8627758718,-33344.81797825701
每伴,,,,,,4698.3516,15251.0319403058,13081.958605239799,12402.9471991424,12081.527584400601,-3332.61733417759,6552.806379435179,10489.815276675,-411.10671804826006,8643.13382263006,22067.4244320046,9029.27341385683,11471.2646725702,1750.8219433313598,-199813.15007300058,4669.976578230233,249.93322135651715,-1664.026371674392,-11342.661755151465
泰迪熊,,,,,,,,,0.0,5785.16341093878,13970.0126299445,16936.3995703342,2561.46573173519,5297.3241881766,4324.545039027121,1810.51763176544,6302.30445858797,4198.15127938263,-1022.95672553584,20017.198216439298,-5425.76275085438,-3386.5660848405,-3614.4847698908093,-3596.4483213813896
淘淘安金润,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
满趣健,,,,,0.0,0.0,33506.7921895411,14979.369726758701,7146.842049060459,10035.3542200658,-5653.7692,48740.920417239,8505.114050010641,-9658.437545874449,12783.270885105801,-87.70327136535248,9153.87749200961,4155.82439686085,-466.57572944185205,-6372.23236683287,-5636.68422709439,1058.65572068017,-238.438395951887,-87644.8215039371
澳优,,,,,,,,,,-5340.56,3244.92505430051,9618.13283177888,-30388.4335036857,64896.4446291893,244783.7412593801,-77999.9921553446,54570.237882236004,231.3886495514007,40349.4694216084,-21911.02223448801,41567.27782500219,51552.888364082406,204262.0967793853,37721.384825981426
火火兔,,,,,,,,,,,,0.0,11133.426638848101,-3549.1036532614703,13474.852830816299,4087.53935326302,15452.447342893201,7669.825098700358,2781.2610922730296,11164.569310286699,6940.5649126241115,11261.2284637775,3318.06540526932,7516.446846061759
爱生雅,0.0,0.0,0.0,0.0,0.0,0.0,-19496.194012147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
特福芬,,,,,,3607.7472,5440.0212,1675.2956,4524.2004,-947.072799999998,1062.61719999999,-10598.6533276596,-7997.165680368441,-10099.014475359001,-9580.095994655601,-16522.6131962151,-6876.91822833177,-12404.284424809899,-48206.7643065237,-2011.1415456023199,-942.2785817262868,-126.97,12.58,0.0
百立乐,-57694.45016,-53670.83976,51592.741360000095,-102337.6308,-81109.53487999999,-137360.68352,-85494.5108,19166.36408,12223.66744,17286.9664,19535.36,45241.5436,0.0,-23.078005991766897,0.0,0.0,27967.45,0.0,0.0,-860.0,0.0,0.0,0.0,0.0
纽迪希亚,226625.72647521397,-82420.95422019345,289018.0065689533,192570.44168888795,769191.1149739786,462355.37192281394,744307.1028431093,-129769.50535441363,729817.3997044406,533688.6355697085,805976.1550474177,318174.7219720729,428354.36827325687,-214271.22585950204,171129.80455781406,642159.7745636036,748530.5081488774,690377.5349738506,-616108.1355534487,-163895.07133782105,-248392.14927565184,166125.65646409863,-482387.97361039126,-421580.0612308704
美智高,,,,,,,,,,,,,,,0.0,-1676.6548422859698,8166.25309596423,17281.4682368084,8711.82011799196,-18582.7689712916,1323.57595879371,14081.2737767308,6697.88723415083,16173.2557550595
美素,432073.8709311977,26744.224432903953,673160.0031781964,1017754.2160725062,1887169.8907213048,1774866.2196996417,1541987.7864024476,1287218.8764116457,1030500.2386174663,425733.5020940381,2061105.795288951,-438253.7431226391,2812268.690804623,-46743.18490297819,676510.1792789737,2922847.7824852886,3061068.673233414,3696105.383252817,679249.5846593626,4808258.967707299,3571775.751636997,1913419.4481353103,2426466.7727311132,2818432.631745538
美赞臣,70911.8574117636,-232352.8762389631,259432.93365074246,9097.01945559689,-85322.94243032121,-273598.884893515,-176420.62381106036,37271.94439181042,30343.552900959774,-22406.118359092296,135085.0543961007,-83610.9438564872,-563965.8571570056,-266951.81790569937,226444.70384259254,-236588.74111909198,-209512.23739100347,223238.40870689202,-453291.12696070375,363936.55530133063,777031.8949488205,67902.26556887657,833871.9851836428,1329882.0511409242
花王,,,,,,15696.234,17641.0577917913,4313.6768650164895,12230.2743157972,-918.402871856123,-6848.22216611533,1816.8352390368798,-1467.27843304575,-608.394460465347,-604.209537802083,6109.5842696951295,4000.15525615182,-55986.718332405595,-89.4412511138776,-660.715778019823,317.463149030998,-703.742053775529,76.2958131957949,106952.60129626699
菲比,-39969.991576457185,-20882.56007687183,-430.36857072669864,807.1259055426017,-12859.821011522909,-11594.15016,-12282.268546988498,11217.528595192416,-231.12702460384503,-11535.434119163636,23209.38249792596,-125309.13958099435,-41546.94378912765,29038.026208260253,500.5216510836101,1107.52,2919.3214471103884,461.12999999999994,-11632.949999999999,358.32,0.0,0.0,0.0,0.0
蒙牛,-25610.7588,-47610.7912074754,-10622.146495016601,-45326.876206911795,-58577.2111190816,-286.698012900331,-16134.6775561177,-5759.636884319979,7365.52277730886,4573.599851371961,-22330.1735038695,-4621.99553372958,-45027.048199682686,-7024.83596493187,-25333.4928833692,-36226.9329848083,-12393.48,-37836.37,-17802.201441728997,-29117.3307776992,-30661.8556621102,-28231.1875064468,-28312.2652162225,-260441.69073398106
